"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary.Quote","Stock.Exchange"
"ARCB","ArcBest Corporation","18.99","$493.02M","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/arcb","NASDAQ"
"ACGL","Arch Capital Group Ltd.","65.31","$8B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/acgl","NASDAQ"
"APLP","Archrock Partners, L.P.","9.29","$554.77M","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/aplp","NASDAQ"
"ACAT","Arctic Cat Inc.","12.33","$160.16M","1990","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/acat","NASDAQ"
"ARDX","Ardelyx, Inc.","11.75","$304.99M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ardx","NASDAQ"
"ARNA","Arena Pharmaceuticals, Inc.","1.7","$412.33M","2000","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/arna","NASDAQ"
"ARCC","Ares Capital Corporation","13.8","$4.34B","2004","n/a","n/a","http://www.nasdaq.com/symbol/arcc","NASDAQ"
"AGII","Argo Group International Holdings, Ltd.","55.79","$1.56B","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/agii","NASDAQ"
"AGIIL","Argo Group International Holdings, Ltd.","25.27","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/agiil","NASDAQ"
"ARGS","Argos Therapeutics, Inc.","2.61","$54.12M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/args","NASDAQ"
"ARIS","ARI Network Services, Inc.","3.63","$62.34M","1991","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/aris","NASDAQ"
"ARIA","ARIAD Pharmaceuticals, Inc.","5.5","$1.04B","1994","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aria","NASDAQ"
"ARKR","Ark Restaurants Corp.","21.5","$73.49M","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/arkr","NASDAQ"
"ARMH","ARM Holdings plc","42.93","$20.11B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/armh","NASDAQ"
"ARTX","Arotech Corporation","2.16","$53.35M","1994","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/artx","NASDAQ"
"ARWA","Arowana Inc.","9.74","$105.77M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/arwa","NASDAQ"
"ARWAR","Arowana Inc.","0.3","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/arwar","NASDAQ"
"ARWAU","Arowana Inc.","10.15","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/arwau","NASDAQ"
